사용일자,노선명,역명,승차 총승객,하차 총승객,등록일자
"""20221001""","""5호선""","""광화문(세종문화회관)""","""23921""","""23676""","""20221004""",""""""
"""20221002""","""5호선""","""광화문(세종문화회관)""","""18188""","""17283""","""20221005""",""""""
"""20221003""","""5호선""","""광화문(세종문화회관)""","""25966""","""27242""","""20221006""",""""""
"""20221004""","""5호선""","""광화문(세종문화회관)""","""33534""","""35059""","""20221007""",""""""
"""20221005""","""5호선""","""광화문(세종문화회관)""","""37741""","""39629""","""20221008""",""""""
"""20221006""","""5호선""","""광화문(세종문화회관)""","""35626""","""37425""","""20221009""",""""""
"""20221007""","""5호선""","""광화문(세종문화회관)""","""37424""","""39527""","""20221010""",""""""
"""20221008""","""5호선""","""광화문(세종문화회관)""","""29201""","""28063""","""20221011""",""""""
"""20221009""","""5호선""","""광화문(세종문화회관)""","""17076""","""17382""","""20221012""",""""""
"""20221010""","""5호선""","""광화문(세종문화회관)""","""23046""","""23310""","""20221013""",""""""
"""20221011""","""5호선""","""광화문(세종문화회관)""","""34822""","""36715""","""20221014""",""""""
"""20221012""","""5호선""","""광화문(세종문화회관)""","""36851""","""38192""","""20221015""",""""""
"""20221013""","""5호선""","""광화문(세종문화회관)""","""36771""","""38633""","""20221016""",""""""
"""20221014""","""5호선""","""광화문(세종문화회관)""","""35844""","""37875""","""20221017""",""""""
"""20221015""","""5호선""","""광화문(세종문화회관)""","""25792""","""25475""","""20221018""",""""""
"""20221016""","""5호선""","""광화문(세종문화회관)""","""16235""","""15802""","""20221019""",""""""
"""20221017""","""5호선""","""광화문(세종문화회관)""","""33866""","""31370""","""20221020""",""""""
"""20221018""","""5호선""","""광화문(세종문화회관)""","""34623""","""35345""","""20221021""",""""""
"""20221019""","""5호선""","""광화문(세종문화회관)""","""36019""","""38357""","""20221022""",""""""
"""20221020""","""5호선""","""광화문(세종문화회관)""","""36058""","""38107""","""20221023""",""""""
"""20221021""","""5호선""","""광화문(세종문화회관)""","""37504""","""39263""","""20221024""",""""""
"""20221022""","""5호선""","""광화문(세종문화회관)""","""31388""","""33371""","""20221025""",""""""
"""20221023""","""5호선""","""광화문(세종문화회관)""","""17459""","""16886""","""20221026""",""""""
"""20221024""","""5호선""","""광화문(세종문화회관)""","""33117""","""34685""","""20221027""",""""""
"""20221025""","""5호선""","""광화문(세종문화회관)""","""34379""","""35118""","""20221028""",""""""
"""20221026""","""5호선""","""광화문(세종문화회관)""","""36327""","""38112""","""20221029""",""""""
"""20221027""","""5호선""","""광화문(세종문화회관)""","""36736""","""38246""","""20221030""",""""""
"""20221028""","""5호선""","""광화문(세종문화회관)""","""37973""","""39877""","""20221031""",""""""
"""20221029""","""5호선""","""광화문(세종문화회관)""","""29622""","""31065""","""20221101""",""""""
"""20221030""","""5호선""","""광화문(세종문화회관)""","""17095""","""16880""","""20221102""",""""""
"""20221031""","""5호선""","""광화문(세종문화회관)""","""33611""","""35022""","""20221103""",""""""
"""20221001""","""2호선""","""강남""","""58374""","""58877""","""20221004""",""""""
"""20221002""","""2호선""","""강남""","""36721""","""36591""","""20221005""",""""""
"""20221003""","""2호선""","""강남""","""30192""","""29053""","""20221006""",""""""
"""20221004""","""2호선""","""강남""","""84057""","""81384""","""20221007""",""""""
"""20221005""","""2호선""","""강남""","""86317""","""83360""","""20221008""",""""""
"""20221006""","""2호선""","""강남""","""87747""","""84654""","""20221009""",""""""
"""20221007""","""2호선""","""강남""","""93385""","""92171""","""20221010""",""""""
"""20221008""","""2호선""","""강남""","""60050""","""60129""","""20221011""",""""""
"""20221009""","""2호선""","""강남""","""34302""","""34233""","""20221012""",""""""
"""20221010""","""2호선""","""강남""","""35743""","""34488""","""20221013""",""""""
"""20221011""","""2호선""","""강남""","""84385""","""81412""","""20221014""",""""""
"""20221012""","""2호선""","""강남""","""85370""","""82250""","""20221015""",""""""
"""20221013""","""2호선""","""강남""","""86509""","""83742""","""20221016""",""""""
"""20221014""","""2호선""","""강남""","""91148""","""89826""","""20221017""",""""""
"""20221015""","""2호선""","""강남""","""60818""","""60772""","""20221018""",""""""
"""20221016""","""2호선""","""강남""","""34385""","""33049""","""20221019""",""""""
"""20221017""","""2호선""","""강남""","""82718""","""79979""","""20221020""",""""""
"""20221018""","""2호선""","""강남""","""85710""","""82544""","""20221021""",""""""
"""20221019""","""2호선""","""강남""","""84873""","""79642""","""20221022""",""""""
"""20221020""","""2호선""","""강남""","""85930""","""82926""","""20221023""",""""""
"""20221021""","""2호선""","""강남""","""90659""","""90025""","""20221024""",""""""
"""20221022""","""2호선""","""강남""","""61669""","""62662""","""20221025""",""""""
"""20221023""","""2호선""","""강남""","""35186""","""33713""","""20221026""",""""""
"""20221024""","""2호선""","""강남""","""82761""","""79641""","""20221027""",""""""
"""20221025""","""2호선""","""강남""","""86204""","""82248""","""20221028""",""""""
"""20221026""","""2호선""","""강남""","""85789""","""82544""","""20221029""",""""""
"""20221027""","""2호선""","""강남""","""86413""","""83154""","""20221030""",""""""
"""20221028""","""2호선""","""강남""","""91725""","""90765""","""20221031""",""""""
"""20221029""","""2호선""","""강남""","""61621""","""63943""","""20221101""",""""""
"""20221030""","""2호선""","""강남""","""36245""","""33716""","""20221102""",""""""
"""20221031""","""2호선""","""강남""","""79691""","""76872""","""20221103""",""""""
"""20221001""","""2호선""","""홍대입구""","""72912""","""82760""","""20221004""",""""""
"""20221001""","""공항철도 1호선""","""홍대입구""","""14970""","""15465""","""20221004""",""""""
"""20221001""","""경의선""","""홍대입구""","""2303""","""2985""","""20221004""",""""""
"""20221002""","""경의선""","""홍대입구""","""1834""","""2517""","""20221005""",""""""
"""20221002""","""공항철도 1호선""","""홍대입구""","""12487""","""12491""","""20221005""",""""""
"""20221002""","""2호선""","""홍대입구""","""60525""","""63592""","""20221005""",""""""
"""20221003""","""2호선""","""홍대입구""","""46517""","""45268""","""20221006""",""""""
"""20221003""","""경의선""","""홍대입구""","""1210""","""1631""","""20221006""",""""""
"""20221003""","""공항철도 1호선""","""홍대입구""","""9887""","""9346""","""20221006""",""""""
"""20221004""","""2호선""","""홍대입구""","""57362""","""60413""","""20221007""",""""""
"""20221004""","""공항철도 1호선""","""홍대입구""","""10710""","""11140""","""20221007""",""""""
"""20221004""","""경의선""","""홍대입구""","""1863""","""2214""","""20221007""",""""""
"""20221005""","""경의선""","""홍대입구""","""2003""","""2361""","""20221008""",""""""
"""20221005""","""2호선""","""홍대입구""","""60363""","""63588""","""20221008""",""""""
"""20221005""","""공항철도 1호선""","""홍대입구""","""11122""","""11445""","""20221008""",""""""
"""20221006""","""2호선""","""홍대입구""","""61038""","""65735""","""20221009""",""""""
"""20221006""","""경의선""","""홍대입구""","""2053""","""2434""","""20221009""",""""""
"""20221006""","""공항철도 1호선""","""홍대입구""","""11526""","""11743""","""20221009""",""""""
"""20221007""","""2호선""","""홍대입구""","""71077""","""80895""","""20221010""",""""""
"""20221007""","""공항철도 1호선""","""홍대입구""","""13730""","""14370""","""20221010""",""""""
"""20221007""","""경의선""","""홍대입구""","""2296""","""2953""","""20221010""",""""""
"""20221008""","""2호선""","""홍대입구""","""81131""","""93317""","""20221011""",""""""
"""20221008""","""공항철도 1호선""","""홍대입구""","""17025""","""17021""","""20221011""",""""""
"""20221008""","""경의선""","""홍대입구""","""2826""","""4037""","""20221011""",""""""
"""20221009""","""2호선""","""홍대입구""","""61902""","""64325""","""20221012""",""""""
"""20221009""","""경의선""","""홍대입구""","""1721""","""2369""","""20221012""",""""""
"""20221009""","""공항철도 1호선""","""홍대입구""","""12555""","""12361""","""20221012""",""""""
"""20221010""","""2호선""","""홍대입구""","""55596""","""55575""","""20221013""",""""""
"""20221010""","""경의선""","""홍대입구""","""1692""","""2161""","""20221013""",""""""
"""20221010""","""공항철도 1호선""","""홍대입구""","""11210""","""10497""","""20221013""",""""""
"""20221011""","""2호선""","""홍대입구""","""60584""","""64011""","""20221014""",""""""
